SG_UF;NM_MUNICIPIO;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS_NOMINAIS;QT_VOTOS_NOMINAIS_VALIDOS;LATITUDE;LONGITUDE;COALITION
CE;SOBRAL;Vereador;40630;KARINE RIBEIRO DA SILVA;KARINE RIBEIRO;40;PSB;Partido Socialista Brasileiro;ELEITO POR QP;1;3577;3577;-3,687914;-40,345637;center
SP;SOROCABA;Vereador;10111;CAIO DE OLIVEIRA EGEA SILVEIRA;CAIO OLIVEIRA;10;REPUBLICANOS;REPUBLICANOS;ELEITO POR QP;1;12090;12090;-23,468484;-47,442413;right
SP;SOROCABA;Vereador;44190;ITALO GABRIEL MOREIRA;ITALO MOREIRA;44;UNIO;Unio Brasil;ELEITO POR QP;1;10292;10292;-23,468484;-47,442413;center-right
SP;SOROCABA;Vereador;50000;RAUL MARCELO DE SOUZA;RAUL MARCELO;50;PSOL;Partido Socialismo e Liberdade;ELEITO POR QP;1;8377;8377;-23,468484;-47,442413;left
SP;SOROCABA;Vereador;44010;JOAO DONIZETI SILVESTRE;JOAO DONIZETI;44;UNIO;Unio Brasil;ELEITO POR QP;1;7941;7941;-23,468484;-47,442413;center-right
SP;SOROCABA;Vereador;20000;FAUSTO SALVADOR PERES;FAUSTO PERES;20;PODE;Podemos;ELEITO POR QP;1;7103;7103;-23,468484;-47,442413;center-right
PB;SOUSA;Vereador;40123;RADAMES GENESIS MARQUES ESTRELA;RADAMES ESTRELA;40;PSB;Partido Socialista Brasileiro;ELEITO POR QP;1;2736;2736;-6,766203;-38,231961;center
PB;SOUSA;Vereador;40111;AMANDA OLIVEIRA DA SILVEIRA MARQUES DANTAS;AMANDA SILVEIRA;40;PSB;Partido Socialista Brasileiro;ELEITO POR QP;1;2664;2664;-6,766203;-38,231961;center
PB;SOUSA;Vereador;40999;BRUNA PIRES DE SA VERAS PINTO;BRUNA VERAS;40;PSB;Partido Socialista Brasileiro;ELEITO POR QP;1;1631;1631;-6,766203;-38,231961;center
PB;SOUSA;Vereador;55222;DIOGENES FERREIRA DA SILVA;DIOGENES FERREIRA;55;PSD;Partido Social Democrático;ELEITO POR QP;1;1417;1417;-6,766203;-38,231961;center-right
PB;SOUSA;Vereador;12222;CARLOS HENRIQUE ABRANTES MARQUES;NOVINHO DE CARLAO;12;PDT;Partido Democrático Trabalhista;ELEITO POR QP;1;1413;1413;-6,766203;-38,231961;center-left
SP;SAO PAULO;Vereador;22022;LUCAS PAVANATO DE OLIVEIRA;LUCAS PAVANATO;22;PL;Partido Liberal;ELEITO POR QP;1;161386;161386;-23,550651;-46,633382;right
SP;SAO PAULO;Vereador;20000;ANA CAROLINA CUNHA DE OLIVEIRA FRANCOMANO;ANA CAROLINA OLIVEIRA;20;PODE;Podemos;ELEITO POR QP;1;129563;129563;-23,550651;-46,633382;center-right
SP;SAO PAULO;Vereador;11111;MURILLO DE OLIVEIRA LIMA;DR. MURILLO LIMA;11;PP;PROGRESSISTAS;ELEITO POR QP;1;113820;113820;-23,550651;-46,633382;center-right
SP;SAO PAULO;Vereador;11190;ISRAEL NANTES SANTOS;SARGENTO NANTES;11;PP;PROGRESSISTAS;ELEITO POR QP;1;112484;112484;-23,550651;-46,633382;center-right
SP;SAO PAULO;Vereador;50700;AMANDA MARQUES PASCHOAL;AMANDA PASCHOAL;50;PSOL;Partido Socialismo e Liberdade;ELEITO POR QP;1;108654;108654;-23,550651;-46,633382;left
PI;TERESINA;Vereador;55000;EDUARDO DA SILVA OLIVEIRA;EDUARDO DRAGA ALANA;55;PSD;Partido Social Democrático;ELEITO POR QP;1;9233;9233;-5,087461;-42,804957;center-right
PI;TERESINA;Vereador;25123;BRUNO GALISA VILARINHO SOARES;BRUNO VILARINHO;25;PRD;Partido Renovação Democrática;ELEITO POR QP;1;7992;7992;-5,087461;-42,804957;right
PI;TERESINA;Vereador;12123;ENZO SAMUEL ALENCAR SILVA;ENZO SAMUEL;12;PDT;Partido Democrático Trabalhista;ELEITO POR QP;1;7944;7944;-5,087461;-42,804957;center-left
PI;TERESINA;Vereador;15110;DANIEL ARAUJO DE CARVALHO;DANIEL CARVALHO;15;MDB;Movimento Democrático Brasileiro;ELEITO POR QP;1;7894;7894;-5,087461;-42,804957;center
PI;TERESINA;Vereador;25111;JOAO VICTOR ALVES DA SILVA;JUCA ALVES;25;PRD;Partido Renovação Democrática;ELEITO POR QP;1;7600;7600;-5,087461;-42,804957;right
MG;UBERLANDIA;Vereador;43123;FABIO DIAS QUEIROZ ZAVITOSKI;FABAO;43;PV;Partido Verde;ELEITO POR QP;1;14596;14596;-18,918804;-48,276784;center-left
MG;UBERLANDIA;Vereador;11690;ANTONIO CARLOS CARRIJO;CARRIJO;11;PP;PROGRESSISTAS;ELEITO POR QP;1;6998;6998;-18,918804;-48,276784;center-right
MG;UBERLANDIA;Vereador;20200;NEEMIAS MIQUEIAS SILVA SOARES;NEEMIAS MIQUEIAS;20;PODE;Podemos;ELEITO POR QP;1;5997;5997;-18,918804;-48,276784;center-right
MG;UBERLANDIA;Vereador;11000;EDNALDO REGIO DE LIMA;SGT EDNALDO;11;PP;PROGRESSISTAS;ELEITO POR QP;1;5856;5856;-18,918804;-48,276784;center-right
MG;UBERLANDIA;Vereador;20123;ANDERSON LIMA DA SILVA;ANDERSON LIMA;20;PODE;Podemos;ELEITO POR MDIA;1;5543;5543;-18,918804;-48,276784;center-right
AL;UNIAO DOS PALMARES;Vereador;15222;EDMILTON RODRIGUES DA SILVA;MILTON DO COMPLEMENTAR;15;MDB;Movimento Democrático Brasileiro;ELEITO POR QP;1;1892;1892;-9,157681;-36,034225;center
AL;UNIAO DOS PALMARES;Vereador;15999;GIVANILDO GOMES DA SILVA;NENZINHA;15;MDB;Movimento Democrático Brasileiro;ELEITO POR QP;1;1597;1597;-9,157681;-36,034225;center
AL;UNIAO DOS PALMARES;Vereador;12300;ALMIR BELARMINO DA SILVA;ALMIR BELO;12;PDT;Partido Democrático Trabalhista;ELEITO POR QP;1;1562;1562;-9,157681;-36,034225;center-left
AL;UNIAO DOS PALMARES;Vereador;15111;EMANUEL GOMES BALBINO;DE MOTOTAXI;15;MDB;Movimento Democrático Brasileiro;ELEITO POR QP;1;1554;1554;-9,157681;-36,034225;center
AL;UNIAO DOS PALMARES;Vereador;12222;GUSTAVO THADEU PAULINO PEDROZA;GUSTAVO PEDROZA;12;PDT;Partido Democrático Trabalhista;ELEITO POR QP;1;1503;1503;-9,157681;-36,034225;center-left
ES;VILA VELHA;Vereador;11100;HERCULES SILVEIRA;DOUTOR HERCULES;11;PP;PROGRESSISTAS;ELEITO POR QP;1;7275;7275;-20,329704;-40,292017;center-right
ES;VILA VELHA;Vereador;22222;DEVACIR RABELLO DA SILVA;DEVACIR RABELLO;22;PL;Partido Liberal;ELEITO POR QP;1;5481;5481;-20,329704;-40,292017;right
ES;VILA VELHA;Vereador;20777;ROGERIO CARDOSO SILVEIRA;ROGERIO CARDOSO;20;PODE;Podemos;ELEITO POR QP;1;5310;5310;-20,329704;-40,292017;center-right
ES;VILA VELHA;Vereador;20444;ANADELSO PEREIRA;ANADELSO PEREIRA;20;PODE;Podemos;ELEITO POR QP;1;4914;4914;-20,329704;-40,292017;center-right
ES;VILA VELHA;Vereador;20000;LEO VICTOR DAMASCENA SALLES;LEO PINDOBA;20;PODE;Podemos;ELEITO POR QP;1;4775;4775;-20,329704;-40,292017;center-right
MT;VARZEA GRANDE;Vereador;44040;CHARLES FABIANO ARAUJO QUADRO;CHARLES DA EDUCACAO;44;UNIO;Unio Brasil;ELEITO POR QP;1;4859;4859;-15,645816;-56,132218;center-right
MT;VARZEA GRANDE;Vereador;22022;CAIO CEZAR CORDEIRO DE ALMEIDA;CAIO CORDEIRO;22;PL;Partido Liberal;ELEITO POR QP;1;3768;3768;-15,645816;-56,132218;right
MT;VARZEA GRANDE;Vereador;40650;GISELE APARECIDA DE BARROS;GISA BARROS;40;PSB;Partido Socialista Brasileiro;ELEITO POR QP;1;3613;3613;-15,645816;-56,132218;center
MT;VARZEA GRANDE;Vereador;44777;ROSEMARY SOUZA PRADO;ROSY PRADO;44;UNIO;Unio Brasil;ELEITO POR QP;1;3168;3168;-15,645816;-56,132218;center-right
MT;VARZEA GRANDE;Vereador;15150;JERONIMO DE CARVALHO NETO;JERO NETO;15;MDB;Movimento Democrático Brasileiro;ELEITO POR QP;1;2850;2850;-15,645816;-56,132218;center
AM;MANAUS;Prefeito;22;ALBERTO BARROS CAVALCANTE NETO;CAPITAO ALBERTO NETO;22;PL;Partido Liberal;Não eleito;2;479297;479297;-3,131633;-59,982504;right
AM;MANAUS;Prefeito;70;DAVID ANTONIO ABISAI PEREIRA DE ALMEIDA;DAVID ALMEIDA;70;AVANTE;AVANTE;Eleito;2;576171;576171;-3,131633;-59,982504;center
CE;FORTALEZA;Prefeito;13;EVANDRO SA BARRETO LEITAO;EVANDRO LEITAO;13;PT;Partido dos Trabalhadores;Eleito;2;716133;716133;-3,730451;-38,521799;center-left
CE;FORTALEZA;Prefeito;22;ANDRE FERNANDES DE MOURA;ANDRE FERNANDES;22;PL;Partido Liberal;Não eleito;2;705295;705295;-3,730451;-38,521799;right
ES;SERRA;Prefeito;10;PABLO AURINO RAMOS ARAUJO;PABLO MURIBECA;10;REPUBLICANOS;REPUBLICANOS;Não eleito;2;90227;90227;-20,125296;-40,306448;right
ES;SERRA;Prefeito;12;WEVERSON VALCKER MEIRELES;WEVERSON MEIRELES;12;PDT;Partido Democrático Trabalhista;Eleito;2;138071;138071;-20,125296;-40,306448;center-left
GO;ANAPOLIS;Prefeito;13;ANTONIO ROBERTO OTONI GOMIDE;ANTONIO GOMIDE;13;PT;Partido dos Trabalhadores;Não eleito;2;75182;75182;-16,333283;-48,952576;center-left
GO;ANAPOLIS;Prefeito;22;MARCIO AURELIO CORREA;MARCIO CORREA;22;PL;Partido Liberal;Eleito;2;106263;106263;-16,333283;-48,952576;right
GO;APARECIDA DE GOIANIA;Prefeito;15;LEANDRO VILELA VELLOSO;LEANDRO VILELA;15;MDB;Movimento Democrático Brasileiro;Eleito;2;132230;132230;-16,822677;-49,245255;center
GO;APARECIDA DE GOIANIA;Prefeito;22;ALCIDES RIBEIRO FILHO;PROFESSOR ALCIDES;22;PL;Partido Liberal;Não eleito;2;75676;75676;-16,822677;-49,245255;right
GO;GOIANIA;Prefeito;22;FREDERICO GUSTAVO RODRIGUES DA CUNHA;FRED RODRIGUES;22;PL;Partido Liberal;Não eleito;2;283054;283054;-16,680882;-49,253269;right
GO;GOIANIA;Prefeito;44;SANDRO DA MABEL ANTONIO SCODRO;MABEL;44;UNIO;Unio Brasil;Eleito;2;353518;353518;-16,680882;-49,253269;center-right
MA;IMPERATRIZ;Prefeito;10;TACILLA MARIANA CARVALHO SILVA;MARIANA CARVALHO;10;REPUBLICANOS;REPUBLICANOS;Não eleito;2;66752;66752;-5,526928;-47,478115;right
MA;IMPERATRIZ;Prefeito;11;RILDO DE OLIVEIRA AMARAL;RILDO AMARAL;11;PP;PROGRESSISTAS;Eleito;2;81942;81942;-5,526928;-47,478115;center-right
MG;BELO HORIZONTE;Prefeito;22;BRUNO DE CASTRO ENGLER FLORENCIO DE ALMEIDA;BRUNO ENGLER;22;PL;Partido Liberal;Não eleito;2;577537;577537;-19,922732;-43,945095;right
MG;BELO HORIZONTE;Prefeito;55;FUAD JORGE NOMAN FILHO;FUAD NOMAN;55;PSD;Partido Social Democrático;Eleito;2;670574;670574;-19,922732;-43,945095;center-right
MS;CAMPO GRANDE;Prefeito;11;ADRIANE BARBOSA NOGUEIRA LOPES;ADRIANE LOPES;11;PP;PROGRESSISTAS;Eleito;2;222699;222699;-20,464017;-54,616295;center-right
MS;CAMPO GRANDE;Prefeito;44;ROSIANE MODESTO DE OLIVEIRA;ROSE MODESTO;44;UNIO;Unio Brasil;Não eleito;2;210112;210112;-20,464017;-54,616295;center-right
MT;CUIABA;Prefeito;13;LUDIO FRANK MENDES CABRAL;LUDIO;13;PT;Partido dos Trabalhadores;Não eleito;2;147127;147127;-15,598669;-56,09913;center-left
MT;CUIABA;Prefeito;22;ABILIO JACQUES BRUNINI MOUMER;ABILIO;22;PL;Partido Liberal;Eleito;2;171324;171324;-15,598669;-56,09913;right
PB;CAMPINA GRANDE;Prefeito;40;JHONY WESLLYS BEZERRA COSTA;DR JHONY;40;PSB;Partido Socialista Brasileiro;Não eleito;2;98852;98852;-7,224674;-35,877129;center
PB;CAMPINA GRANDE;Prefeito;44;BRUNO CUNHA LIMA BRANCO;BRUNO CUNHA LIMA;44;UNIO;Unio Brasil;Eleito;2;136191;136191;-7,224674;-35,877129;center-right
PB;JOAO PESSOA;Prefeito;11;CICERO DE LUCENA FILHO;CICERO LUCENA;11;PP;PROGRESSISTAS;Eleito;2;258727;258727;-7,121598;-34,882028;center-right
PB;JOAO PESSOA;Prefeito;22;MARCELO ANTONIO CARTAXO QUEIROGA LOPES;MARCELO QUEIROGA;22;PL;Partido Liberal;Não eleito;2;146129;146129;-7,121598;-34,882028;right
PE;OLINDA;Prefeito;13;VINICIUS NASCIMENTO DOS SANTOS;VINICIUS CASTELLO;13;PT;Partido dos Trabalhadores;Não eleito;2;105616;105616;-7,99864;-34,845955;center-left
PE;OLINDA;Prefeito;55;MIRELLA FERNANDA BEZERRA DE ALMEIDA;MIRELLA;55;PSD;Partido Social Democrático;Eleito;2;111613;111613;-7,99864;-34,845955;center-right
PR;CURITIBA;Prefeito;35;CRISTINA REIS GRAEML;CRISTINA GRAEML;35;PMB;Partido da Mulher Brasileira;Não eleito;2;390254;390254;-25,494438;-49,284271;center-right
PR;CURITIBA;Prefeito;55;EDUARDO PIMENTEL SLAVIERO;EDUARDO PIMENTEL;55;PSD;Partido Social Democrático;Eleito;2;531029;531029;-25,494438;-49,284271;center-right
PR;LONDRINA;Prefeito;11;MARIA TEREZA PASCHOAL DE MORAES;PROFESSORA MARIA TEREZA;11;PP;PROGRESSISTAS;Não eleito;2;111464;111464;-23,311288;-51,159502;center-right
PR;LONDRINA;Prefeito;55;JOSE TIAGO CAMARGO DO AMARAL;TIAGO AMARAL;55;PSD;Partido Social Democrático;Eleito;2;143745;143745;-23,311288;-51,159502;center-right
RN;NATAL;Prefeito;13;NATALIA BASTOS BONAVIDES;NATALIA BONAVIDES;13;PT;Partido dos Trabalhadores;Não eleito;2;179714;179714;-5,805398;-35,20809;center-left
RN;NATAL;Prefeito;44;PAULO EDUARDO DA COSTA FREIRE;PAULINHO FREIRE;44;UNIO;Unio Brasil;Eleito;2;222661;222661;-5,805398;-35,20809;center-right
RO;PORTO VELHO;Prefeito;20;LEONARDO BARRETO DE MORAES;LEO;20;PODE;Podemos;Eleito;2;135118;135118;-8,749453;-63,873544;center-right
RO;PORTO VELHO;Prefeito;44;MARIANA FONSECA RIBEIRO CARVALHO DE MORAES;MARIANA CARVALHO;44;UNIO;Unio Brasil;Não eleito;2;105406;105406;-8,749453;-63,873544;center-right
RS;CAXIAS DO SUL;Prefeito;22;MAURICIO FERNANDO SCALCO;SCALCO;22;PL;Partido Liberal;Não eleito;2;110476;110476;-29,168505;-51,179639;right
RS;CAXIAS DO SUL;Prefeito;45;ADILO ANGELO DIDOMENICO;ADILO;45;PSDB;Partido da Social Democracia Brasileira;Eleito;2;116730;116730;-29,168505;-51,179639;center
RS;PELOTAS;Prefeito;13;FERNANDO STEPHAN MARRONI;MARRONI;13;PT;Partido dos Trabalhadores;Eleito;2;87737;87737;-31,769974;-52,341016;center-left
RS;PELOTAS;Prefeito;22;MARCIANO PERONDI;MARCIANO PERONDI;22;PL;Partido Liberal;Não eleito;2;86474;86474;-31,769974;-52,341016;right
RS;PORTO ALEGRE;Prefeito;13;MARIA DO ROSARIO NUNES;MARIA DO ROSARIO;13;PT;Partido dos Trabalhadores;Não eleito;2;254128;254128;-30,0325;-51,230377;center-left
RS;PORTO ALEGRE;Prefeito;15;SEBASTIAO DE ARAUJO MELO;SEBASTIAO MELO;15;MDB;Movimento Democrático Brasileiro;Eleito;2;406467;406467;-30,0325;-51,230377;center
RS;SANTA MARIA;Prefeito;13;ANTONIO VALDECI OLIVEIRA DE OLIVEIRA;VALDECI OLIVEIRA;13;PT;Partido dos Trabalhadores;Não eleito;2;64113;64113;-29,686051;-53,806921;center-left
RS;SANTA MARIA;Prefeito;45;RODRIGO DECIMO;RODRIGO DECIMO;45;PSDB;Partido da Social Democracia Brasileira;Eleito;2;76803;76803;-29,686051;-53,806921;center
SE;ARACAJU;Prefeito;12;LUIZ ROBERTO DANTAS DE SANTANA;LUIZ ROBERTO;12;PDT;Partido Democrático Trabalhista;Não eleito;2;122842;122842;-10,916206;-37,077466;center-left
SE;ARACAJU;Prefeito;22;EMILIA CORREA SANTOS BEZERRA;EMILIA CORREA;22;PL;Partido Liberal;Eleito;2;165924;165924;-10,916206;-37,077466;right
SP;SANTOS;Prefeito;10;ROGERIO PEREIRA DOS SANTOS;ROGERIO SANTOS;10;REPUBLICANOS;REPUBLICANOS;Eleito;2;118562;118562;-23,933599;-46,32864;right
SP;SANTOS;Prefeito;22;ROSANA DE OLIVEIRA VALLE;ROSANA VALLE;22;PL;Partido Liberal;Não eleito;2;103592;103592;-23,933599;-46,32864;right
SP;SAO PAULO;Prefeito;15;RICARDO LUIS REIS NUNES;RICARDO NUNES;15;MDB;Movimento Democrático Brasileiro;Eleito;2;3393110;3393110;-23,550651;-46,633382;center
SP;SAO PAULO;Prefeito;50;GUILHERME CASTRO BOULOS;GUILHERME BOULOS;50;PSOL;Partido Socialismo e Liberdade;Não eleito;2;2323901;2323901;-23,550651;-46,633382;left
TO;PALMAS;Prefeito;20;JOSE EDUARDO DE SIQUEIRA CAMPOS;EDUARDO SIQUEIRA CAMPOS;20;PODE;Podemos;Eleito;2;78673;78673;-10,183785;-48,333642;center-right
TO;PALMAS;Prefeito;22;JANAD MARQUES DE FREITAS VALCARI;JANAD VALCARI;22;PL;Partido Liberal;Não eleito;2;69684;69684;-10,183785;-48,333642;right
